filename,source_id,image_path,image_set,cluster,mos
IS_I_C01_D01.jpg,IS_I_C01_D01,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co1/IS_I_C01_D01.jpg,IS1,co1,3.3436430335190703
IS_I_C01_D03.jpg,IS_I_C01_D03,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co1/IS_I_C01_D03.jpg,IS1,co1,45.58109475556601
IS_I_C01_D05.jpg,IS_I_C01_D05,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co1/IS_I_C01_D05.jpg,IS1,co1,25.252354220185676
IS_I_C01_D07.jpg,IS_I_C01_D07,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co1/IS_I_C01_D07.jpg,IS1,co1,9.88964655415763
IS_I_C01_D09.jpg,IS_I_C01_D09,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co1/IS_I_C01_D09.jpg,IS1,co1,47.85276342762087
IS_I_C01_D11.jpg,IS_I_C01_D11,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co1/IS_I_C01_D11.jpg,IS1,co1,73.5651284538055
IS_I_C01_D13.jpg,IS_I_C01_D13,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co1/IS_I_C01_D13.jpg,IS1,co1,60.6821208795548
IS_I_C02_D01.jpg,IS_I_C02_D01,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co2/IS_I_C02_D01.jpg,IS1,co2,28.596330010415222
IS_I_C02_D03.jpg,IS_I_C02_D03,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co2/IS_I_C02_D03.jpg,IS1,co2,28.180940444584376
IS_I_C02_D05.jpg,IS_I_C02_D05,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co2/IS_I_C02_D05.jpg,IS1,co2,29.10891585257077
IS_I_C02_D07.jpg,IS_I_C02_D07,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co2/IS_I_C02_D07.jpg,IS1,co2,26.322799864320427
IS_I_C02_D09.jpg,IS_I_C02_D09,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co2/IS_I_C02_D09.jpg,IS1,co2,53.45228935752622
IS_I_C02_D11.jpg,IS_I_C02_D11,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co2/IS_I_C02_D11.jpg,IS1,co2,54.40594770477686
IS_I_C02_D13.jpg,IS_I_C02_D13,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co2/IS_I_C02_D13.jpg,IS1,co2,52.84545596623882
IS_I_C03_D01.jpg,IS_I_C03_D01,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co3/IS_I_C03_D01.jpg,IS1,co3,16.52776728373287
IS_I_C03_D03.jpg,IS_I_C03_D03,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co3/IS_I_C03_D03.jpg,IS1,co3,19.70635060176418
IS_I_C03_D05.jpg,IS_I_C03_D05,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co3/IS_I_C03_D05.jpg,IS1,co3,12.771323836183509
IS_I_C03_D07.jpg,IS_I_C03_D07,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co3/IS_I_C03_D07.jpg,IS1,co3,12.854903423503718
IS_I_C03_D09.jpg,IS_I_C03_D09,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co3/IS_I_C03_D09.jpg,IS1,co3,48.29078088837637
IS_I_C03_D11.jpg,IS_I_C03_D11,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co3/IS_I_C03_D11.jpg,IS1,co3,39.223418631749446
IS_I_C03_D13.jpg,IS_I_C03_D13,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co3/IS_I_C03_D13.jpg,IS1,co3,45.682984279504886
IS_I_C04_D01.jpg,IS_I_C04_D01,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co4/IS_I_C04_D01.jpg,IS1,co4,63.6576024280957
IS_I_C04_D03.jpg,IS_I_C04_D03,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co4/IS_I_C04_D03.jpg,IS1,co4,74.3549557116498
IS_I_C04_D05.jpg,IS_I_C04_D05,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co4/IS_I_C04_D05.jpg,IS1,co4,64.76028256739563
IS_I_C04_D07.jpg,IS_I_C04_D07,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co4/IS_I_C04_D07.jpg,IS1,co4,59.85379268234218
IS_I_C04_D09.jpg,IS_I_C04_D09,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co4/IS_I_C04_D09.jpg,IS1,co4,66.98072434807538
IS_I_C04_D11.jpg,IS_I_C04_D11,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co4/IS_I_C04_D11.jpg,IS1,co4,82.99267555921134
IS_I_C04_D13.jpg,IS_I_C04_D13,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co4/IS_I_C04_D13.jpg,IS1,co4,77.90552701846426
IS_I_C05_D01.jpg,IS_I_C05_D01,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co5/IS_I_C05_D01.jpg,IS1,co5,41.81645053384817
IS_I_C05_D03.jpg,IS_I_C05_D03,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co5/IS_I_C05_D03.jpg,IS1,co5,57.51182382164114
IS_I_C05_D05.jpg,IS_I_C05_D05,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co5/IS_I_C05_D05.jpg,IS1,co5,56.58381782667748
IS_I_C05_D07.jpg,IS_I_C05_D07,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co5/IS_I_C05_D07.jpg,IS1,co5,47.02688358040409
IS_I_C05_D09.jpg,IS_I_C05_D09,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co5/IS_I_C05_D09.jpg,IS1,co5,73.28348448047561
IS_I_C05_D11.jpg,IS_I_C05_D11,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co5/IS_I_C05_D11.jpg,IS1,co5,61.29534558039573
IS_I_C05_D13.jpg,IS_I_C05_D13,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co5/IS_I_C05_D13.jpg,IS1,co5,79.8848736209052
IS_I_C06_D01.jpg,IS_I_C06_D01,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co6/IS_I_C06_D01.jpg,IS1,co6,33.59227262625416
IS_I_C06_D03.jpg,IS_I_C06_D03,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co6/IS_I_C06_D03.jpg,IS1,co6,39.709054650225234
IS_I_C06_D05.jpg,IS_I_C06_D05,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co6/IS_I_C06_D05.jpg,IS1,co6,50.4643941429356
IS_I_C06_D07.jpg,IS_I_C06_D07,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co6/IS_I_C06_D07.jpg,IS1,co6,50.84793762787573
IS_I_C06_D09.jpg,IS_I_C06_D09,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co6/IS_I_C06_D09.jpg,IS1,co6,82.49181559834697
IS_I_C06_D11.jpg,IS_I_C06_D11,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co6/IS_I_C06_D11.jpg,IS1,co6,75.44444733411699
