filename,source_id,image_path,image_set,cluster,mos,mdfs_raw_score,runtime_seconds,worker_gpu
IS_I_C01_D01.jpg,IS_I_C01_D01,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co1/IS_I_C01_D01.jpg,IS1,co1,3.3436430335190703,29.994600296020508,0.7954756590006582,0
IS_I_C01_D03.jpg,IS_I_C01_D03,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co1/IS_I_C01_D03.jpg,IS1,co1,45.58109475556601,23.636394500732422,0.33713813299982576,0
IS_I_C01_D05.jpg,IS_I_C01_D05,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co1/IS_I_C01_D05.jpg,IS1,co1,25.25235422018568,25.45594024658203,0.3299406949990953,0
IS_I_C01_D07.jpg,IS_I_C01_D07,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co1/IS_I_C01_D07.jpg,IS1,co1,9.88964655415763,29.090229034423828,0.32276719699984824,0
IS_I_C01_D09.jpg,IS_I_C01_D09,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co1/IS_I_C01_D09.jpg,IS1,co1,47.85276342762087,23.424022674560547,0.32997845799945935,0
IS_I_C01_D11.jpg,IS_I_C01_D11,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co1/IS_I_C01_D11.jpg,IS1,co1,73.5651284538055,21.398347854614258,0.3241494550002244,0
IS_I_C01_D13.jpg,IS_I_C01_D13,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co1/IS_I_C01_D13.jpg,IS1,co1,60.6821208795548,21.104780197143555,0.3329521369996655,0
IS_I_C02_D01.jpg,IS_I_C02_D01,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co2/IS_I_C02_D01.jpg,IS1,co2,28.596330010415222,22.622194290161133,0.33883896699990146,0
IS_I_C02_D03.jpg,IS_I_C02_D03,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co2/IS_I_C02_D03.jpg,IS1,co2,28.180940444584376,21.9322509765625,0.3415162330002204,0
IS_I_C02_D05.jpg,IS_I_C02_D05,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co2/IS_I_C02_D05.jpg,IS1,co2,29.10891585257077,24.583974838256836,0.3454806380013906,0
IS_I_C02_D07.jpg,IS_I_C02_D07,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co2/IS_I_C02_D07.jpg,IS1,co2,26.322799864320427,23.18113136291504,0.33835386899954756,0
IS_I_C02_D09.jpg,IS_I_C02_D09,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co2/IS_I_C02_D09.jpg,IS1,co2,53.45228935752622,21.379518508911133,0.34148748200095724,0
IS_I_C02_D11.jpg,IS_I_C02_D11,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co2/IS_I_C02_D11.jpg,IS1,co2,54.40594770477686,20.859859466552734,0.34852470199984964,0
IS_I_C02_D13.jpg,IS_I_C02_D13,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co2/IS_I_C02_D13.jpg,IS1,co2,52.84545596623882,20.209978103637695,0.34384911300003296,0
IS_I_C03_D01.jpg,IS_I_C03_D01,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co3/IS_I_C03_D01.jpg,IS1,co3,16.52776728373287,25.247940063476562,0.3471027380001033,0
IS_I_C03_D03.jpg,IS_I_C03_D03,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co3/IS_I_C03_D03.jpg,IS1,co3,19.70635060176418,24.395729064941406,0.35217129200100317,0
IS_I_C03_D05.jpg,IS_I_C03_D05,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co3/IS_I_C03_D05.jpg,IS1,co3,12.771323836183509,26.04212188720703,0.34691494399885414,0
IS_I_C03_D07.jpg,IS_I_C03_D07,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co3/IS_I_C03_D07.jpg,IS1,co3,12.854903423503718,27.093624114990234,0.3338061070007825,0
IS_I_C03_D09.jpg,IS_I_C03_D09,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co3/IS_I_C03_D09.jpg,IS1,co3,48.29078088837637,21.1900577545166,0.3409298520000448,0
IS_I_C03_D11.jpg,IS_I_C03_D11,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co3/IS_I_C03_D11.jpg,IS1,co3,39.223418631749446,21.024600982666016,0.3443553199995222,0
IS_I_C03_D13.jpg,IS_I_C03_D13,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co3/IS_I_C03_D13.jpg,IS1,co3,45.682984279504886,20.275753021240234,0.34475478599961207,0
IS_I_C04_D01.jpg,IS_I_C04_D01,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co4/IS_I_C04_D01.jpg,IS1,co4,63.6576024280957,20.390892028808594,0.34607275700000173,0
IS_I_C04_D03.jpg,IS_I_C04_D03,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co4/IS_I_C04_D03.jpg,IS1,co4,74.3549557116498,19.590272903442383,0.34501324300072156,0
IS_I_C04_D05.jpg,IS_I_C04_D05,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co4/IS_I_C04_D05.jpg,IS1,co4,64.76028256739563,20.376976013183594,0.34720162200028426,0
IS_I_C04_D07.jpg,IS_I_C04_D07,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co4/IS_I_C04_D07.jpg,IS1,co4,59.85379268234218,21.42513656616211,0.3412482749990886,0
IS_I_C04_D09.jpg,IS_I_C04_D09,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co4/IS_I_C04_D09.jpg,IS1,co4,66.98072434807538,20.304426193237305,0.3580891609999526,0
IS_I_C04_D11.jpg,IS_I_C04_D11,/kaggle/working/MDFS/data/CID2013/extracted/IS1/co4/IS_I_C04_D11.jpg,IS1,co4,82.99267555921134,19.441242218017578,0.3609946799988393,0
