filename,mos,reference_id,distortion_id,distortion_level,mdfs_raw_score,runtime_seconds
I01_01_1.bmp,5.51429,1,1,1,20.645973205566406,0.04940180000039618
i01_13_2.bmp,3.91429,1,13,2,20.573945999145508,0.04735840900002586
i02_01_3.bmp,5.22222,2,1,3,22.897132873535156,0.046185891999812156
i02_13_5.bmp,3.61111,2,13,5,20.35732078552246,0.046022492999782116
i03_02_1.bmp,6.18421,3,2,1,19.381895065307617,0.04611011300039536
i03_14_2.bmp,6.0,3,14,2,17.73502540588379,0.039233168000009755
i04_02_3.bmp,5.68293,4,2,3,21.29852867126465,0.03077483899960498
i04_14_4.bmp,4.40476,4,14,4,18.355953216552734,0.032325375999789685
i05_03_1.bmp,5.09756,5,3,1,18.6986083984375,0.031209139000111463
i05_15_2.bmp,3.1,5,15,2,17.8050594329834,0.032056927000212454
i06_03_3.bmp,3.47222,6,3,3,20.120521545410156,0.0316117569996095
i06_15_4.bmp,4.40541,6,15,4,17.90813636779785,0.03162620200009769
i07_03_5.bmp,2.73333,7,3,5,23.534160614013672,0.03193638899983853
i07_16_2.bmp,6.34884,7,16,2,17.871007919311523,0.03160935100004281
i08_04_3.bmp,5.625,8,4,3,19.216829299926758,0.032175518999792985
i08_16_4.bmp,4.90323,8,16,4,17.697433471679688,0.030990561000180605
i09_04_5.bmp,4.27273,9,4,5,23.820877075195312,0.03205893000040305
i09_17_1.bmp,5.8125,9,17,1,17.68361473083496,0.03164302699997279
i10_05_3.bmp,5.17949,10,5,3,23.422807693481445,0.03181161099973906
i10_17_4.bmp,6.5641,10,17,4,18.209060668945312,0.032190201000048546
i11_05_5.bmp,3.05556,11,5,5,35.38374710083008,0.03155191300038496
i11_18_1.bmp,4.55556,11,18,1,17.57150650024414,0.03219128599994292
i12_06_2.bmp,4.81579,12,6,2,18.914962768554688,0.031075853999936953
i12_18_4.bmp,4.48649,12,18,4,19.372695922851562,0.0318928059996324
i13_06_5.bmp,3.09524,13,6,5,24.664541244506836,0.031828954000047815
i13_19_1.bmp,5.2439,13,19,1,19.050235748291016,0.03176189899977544
i14_07_2.bmp,5.44444,14,7,2,17.632699966430664,0.032408483999915916
i14_19_4.bmp,3.91429,14,19,4,21.55910301208496,0.03127558999995017
i15_07_5.bmp,2.44444,15,7,5,25.487516403198242,0.03214588699984233
i15_20_1.bmp,6.32558,15,20,1,18.74016761779785,0.031818126999951346
i16_08_2.bmp,5.225,16,8,2,18.376550674438477,0.03307712800005902
i16_20_3.bmp,5.18421,16,20,3,18.747018814086914,0.03231422399994699
i17_08_5.bmp,2.95,17,8,5,34.308353424072266,0.03141899399997783
i17_21_1.bmp,5.425,17,21,1,18.573654174804688,0.032389113000135694
i18_09_2.bmp,5.88095,18,9,2,17.920190811157227,0.032062512000266
i18_21_3.bmp,4.5,18,21,3,18.908477783203125,0.03190433400004622
i19_09_4.bmp,3.27027,19,9,4,20.808433532714844,0.032385583000177576
i19_22_1.bmp,5.73684,19,22,1,17.88890838623047,0.031506180000178574
i20_10_2.bmp,5.73684,20,10,2,19.31697654724121,0.032297131000177615
i20_22_3.bmp,4.52632,20,22,3,21.114919662475586,0.03145453099978113
i21_10_4.bmp,3.2619,21,10,4,25.711074829101562,0.03208873199992013
i21_22_5.bmp,3.0,21,22,5,22.41281509399414,0.031897052000203985
i22_11_2.bmp,5.51282,22,11,2,22.48992919921875,0.03172979700002543
i22_23_3.bmp,5.21053,22,23,3,18.550615310668945,0.03290565299994341
i23_11_4.bmp,2.24242,23,11,4,34.51902770996094,0.03178165299959801
i23_23_5.bmp,3.0,23,23,5,28.226791381835938,0.031813416999739275
i24_12_1.bmp,5.68571,24,12,1,18.353469848632812,0.03181874699976106
i24_24_3.bmp,4.34286,24,24,3,23.203479766845703,0.031963398000243615
i25_12_4.bmp,5.0303,25,12,4,27.409103393554688,0.03249274400013746
i25_24_5.bmp,2.77143,25,24,5,24.113666534423828,0.03145202199993946
