filename,image_path,reference_image,reference_id,distortion_id,distortion_level,dmos,variance
I01_01_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_01_01.png,I01.png,1,1,1,4.57,0.496
I01_01_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_01_03.png,I01.png,1,1,3,2.67,0.789
I01_01_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_01_05.png,I01.png,1,1,5,1.1,0.3
I01_02_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_02_02.png,I01.png,1,2,2,2.27,0.772
I01_02_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_02_04.png,I01.png,1,2,4,1.23,0.418
I01_03_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_03_01.png,I01.png,1,3,1,4.73,0.442
I01_03_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_03_03.png,I01.png,1,3,3,2.7,0.936
I01_03_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_03_05.png,I01.png,1,3,5,1.5,0.5
I01_04_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_04_02.png,I01.png,1,4,2,2.17,1.035
I01_04_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_04_04.png,I01.png,1,4,4,1.5,0.619
I01_05_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_05_01.png,I01.png,1,5,1,4.0,0.856
I01_05_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_05_03.png,I01.png,1,5,3,1.57,0.559
I01_05_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_05_05.png,I01.png,1,5,5,1.6,0.611
I01_06_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_06_02.png,I01.png,1,6,2,4.4,0.554
I01_06_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_06_04.png,I01.png,1,6,4,2.9,0.831
I01_07_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_07_01.png,I01.png,1,7,1,2.73,1.123
I01_07_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_07_03.png,I01.png,1,7,3,2.27,1.062
I01_07_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_07_05.png,I01.png,1,7,5,2.2,0.945
I01_08_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_08_02.png,I01.png,1,8,2,3.77,0.616
I01_08_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_08_04.png,I01.png,1,8,4,1.97,0.912
I01_09_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_09_01.png,I01.png,1,9,1,4.6,0.49
I01_09_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_09_03.png,I01.png,1,9,3,4.4,0.611
I01_09_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_09_05.png,I01.png,1,9,5,1.37,0.547
I01_10_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_10_02.png,I01.png,1,10,2,3.93,0.854
I01_10_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_10_04.png,I01.png,1,10,4,1.58,0.555
I01_11_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_11_01.png,I01.png,1,11,1,4.03,0.948
I01_11_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_11_03.png,I01.png,1,11,3,2.67,0.745
I01_11_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_11_05.png,I01.png,1,11,5,2.37,0.752
I01_12_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_12_02.png,I01.png,1,12,2,3.7,0.69
I01_12_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_12_04.png,I01.png,1,12,4,2.37,0.836
I01_13_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_13_01.png,I01.png,1,13,1,3.67,0.789
I01_13_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_13_03.png,I01.png,1,13,3,2.6,0.663
I01_13_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_13_05.png,I01.png,1,13,5,2.03,0.657
I01_14_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_14_02.png,I01.png,1,14,2,3.57,1.023
I01_14_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_14_04.png,I01.png,1,14,4,2.5,0.764
I01_15_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_15_01.png,I01.png,1,15,1,3.57,0.989
I01_15_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_15_03.png,I01.png,1,15,3,1.77,0.607
I01_15_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_15_05.png,I01.png,1,15,5,1.33,0.471
I01_16_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_16_02.png,I01.png,1,16,2,4.47,0.562
I01_16_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_16_04.png,I01.png,1,16,4,3.17,0.898
I01_17_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_17_01.png,I01.png,1,17,1,4.5,0.5
I01_17_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_17_03.png,I01.png,1,17,3,4.33,0.596
I01_17_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_17_05.png,I01.png,1,17,5,2.13,0.846
I01_18_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_18_02.png,I01.png,1,18,2,4.57,0.496
I01_18_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_18_04.png,I01.png,1,18,4,4.37,0.795
I01_19_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_19_01.png,I01.png,1,19,1,4.53,0.499
I01_19_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_19_03.png,I01.png,1,19,3,2.77,0.803
I01_19_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_19_05.png,I01.png,1,19,5,1.37,0.482
I01_20_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_20_02.png,I01.png,1,20,2,3.9,1.136
I01_20_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_20_04.png,I01.png,1,20,4,3.33,1.35
I01_21_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_21_01.png,I01.png,1,21,1,3.37,0.948
I01_21_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_21_03.png,I01.png,1,21,3,2.03,0.74
I01_21_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_21_05.png,I01.png,1,21,5,1.43,0.559
I01_22_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_22_02.png,I01.png,1,22,2,4.0,0.894
I01_22_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_22_04.png,I01.png,1,22,4,3.2,0.98
I01_23_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_23_01.png,I01.png,1,23,1,2.73,0.929
