filename,mos,reference_id,distortion_id,distortion_level,mdfs_raw_score,runtime_seconds
I01_01_1.bmp,5.51429,1,1,1,20.645973205566406,0.061437276999640744
i03_19_4.bmp,4.30769,3,19,4,23.897876739501953,0.04706631800036121
i06_14_2.bmp,6.0,6,14,2,17.823266983032227,0.04698377899967454
i09_09_1.bmp,6.54545,9,9,1,17.92089080810547,0.047028901999965456
i12_03_4.bmp,3.10526,12,3,4,23.807891845703125,0.04809610599977532
i14_22_2.bmp,5.37143,14,22,2,18.051313400268555,0.035564496999995754
i17_16_5.bmp,4.17949,17,16,5,18.71809196472168,0.03372846699994625
i20_11_4.bmp,2.05263,20,11,4,34.310298919677734,0.03328512799998862
i23_06_2.bmp,4.35294,23,6,2,18.76756477355957,0.03233777100012958
i25_24_5.bmp,2.77143,25,24,5,24.113666534423828,0.0311413019999236
