filename,image_path,reference_image,reference_id,distortion_id,distortion_level,dmos,variance
I01_01_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_01_01.png,I01.png,1,1,1,4.57,0.496
I01_01_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_01_02.png,I01.png,1,1,2,4.33,0.869
I01_01_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_01_03.png,I01.png,1,1,3,2.67,0.789
I01_01_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_01_04.png,I01.png,1,1,4,1.67,0.596
I01_01_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_01_05.png,I01.png,1,1,5,1.1,0.3
I01_02_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_02_01.png,I01.png,1,2,1,3.83,0.86
I01_02_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_02_02.png,I01.png,1,2,2,2.27,0.772
I01_02_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_02_03.png,I01.png,1,2,3,1.53,0.67
I01_02_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_02_04.png,I01.png,1,2,4,1.23,0.418
I01_02_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_02_05.png,I01.png,1,2,5,1.2,0.4
I01_03_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_03_01.png,I01.png,1,3,1,4.73,0.442
I01_03_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_03_02.png,I01.png,1,3,2,3.97,0.657
I01_03_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_03_03.png,I01.png,1,3,3,2.7,0.936
I01_03_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_03_04.png,I01.png,1,3,4,2.03,0.795
I01_03_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_03_05.png,I01.png,1,3,5,1.5,0.5
I01_04_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_04_01.png,I01.png,1,4,1,4.73,0.512
I01_04_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_04_02.png,I01.png,1,4,2,2.17,1.035
I01_04_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_04_03.png,I01.png,1,4,3,1.37,0.547
I01_04_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_04_04.png,I01.png,1,4,4,1.5,0.619
I01_04_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_04_05.png,I01.png,1,4,5,1.47,0.806
I01_05_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_05_01.png,I01.png,1,5,1,4.0,0.856
I01_05_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_05_02.png,I01.png,1,5,2,2.2,0.909
I01_05_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_05_03.png,I01.png,1,5,3,1.57,0.559
I01_05_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_05_04.png,I01.png,1,5,4,1.33,0.537
I01_05_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_05_05.png,I01.png,1,5,5,1.6,0.611
I01_06_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_06_01.png,I01.png,1,6,1,4.23,0.761
I01_06_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_06_02.png,I01.png,1,6,2,4.4,0.554
I01_06_03.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_06_03.png,I01.png,1,6,3,3.9,0.943
I01_06_04.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_06_04.png,I01.png,1,6,4,2.9,0.831
I01_06_05.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_06_05.png,I01.png,1,6,5,2.27,0.929
I01_07_01.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_07_01.png,I01.png,1,7,1,2.73,1.123
I01_07_02.png,/kaggle/working/MDFS/data/KADID/extracted/kadid10k/images/I01_07_02.png,I01.png,1,7,2,2.5,1.025
