filename,image_path,mos,reference_id,distortion_id,distortion_level
I01_01_1.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/I01_01_1.bmp,5.51429,1,1,1
i01_01_2.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_01_2.bmp,5.56757,1,1,2
i01_01_3.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_01_3.bmp,4.94444,1,1,3
i01_01_4.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_01_4.bmp,4.37838,1,1,4
i01_01_5.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_01_5.bmp,3.86486,1,1,5
i01_02_1.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_02_1.bmp,6.02857,1,2,1
i01_02_2.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_02_2.bmp,6.10811,1,2,2
i01_02_3.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_02_3.bmp,5.38889,1,2,3
i01_02_4.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_02_4.bmp,4.71429,1,2,4
i01_02_5.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_02_5.bmp,4.36111,1,2,5
i01_03_1.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_03_1.bmp,4.77143,1,3,1
i01_03_2.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_03_2.bmp,4.27027,1,3,2
i01_03_3.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_03_3.bmp,3.7027,1,3,3
i01_03_4.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_03_4.bmp,3.19444,1,3,4
i01_03_5.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_03_5.bmp,2.71429,1,3,5
i01_04_1.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_04_1.bmp,5.97143,1,4,1
i01_04_2.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_04_2.bmp,5.75676,1,4,2
i01_04_3.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_04_3.bmp,5.27027,1,4,3
i01_04_4.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_04_4.bmp,5.24324,1,4,4
i01_04_5.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_04_5.bmp,4.71429,1,4,5
i01_05_1.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_05_1.bmp,5.91892,1,5,1
i01_05_2.bmp,/kaggle/working/MDFS/data/TID2013/distorted_images/i01_05_2.bmp,5.7027,1,5,2
